mpu_address,yaw,pitch,roll,x_accel,y_accel,z_accel
104,62.64,16.47,81.3,0.13,0.84,0.45
105,84.84,81.14,59.9,0.53,0.91,0.1
104,68.97,16.0,83.71,0.11,0.97,0.37
105,89.33,89.2,49.92,0.71,0.81,0.03
104,66.07,14.58,83.42,0.14,0.98,0.46
104,54.96,13.37,80.54,0.15,0.74,0.54
105,92.53,92.35,42.88,0.67,0.62,0.0
104,63.54,13.21,83.34,0.11,0.75,0.38
105,82.52,83.18,42.32,0.73,0.66,0.11
104,60.39,9.04,84.83,0.09,0.8,0.45
104,67.17,4.31,88.18,0.05,0.95,0.41
105,83.57,85.34,35.85,0.95,0.64,0.04
104,71.59,7.8,87.39,0.06,0.99,0.34
105,73.77,81.86,26.16,0.69,0.35,0.12
104,73.21,22.89,82.74,0.13,0.88,0.29
105,58.25,35.82,65.93,0.35,0.74,0.48
104,69.98,21.06,82.01,0.17,0.93,0.34
105,60.92,9.47,84.7,0.09,0.8,0.44
104,66.39,15.69,83.0,0.13,0.89,0.39
105,71.12,356.95,91.05,0.02,0.85,0.31
104,66.97,8.28,86.46,0.07,0.9,0.39
105,75.45,13.03,86.56,0.08,1.15,0.3
104,69.04,1.83,89.3,0.04,0.83,0.33
104,67.98,1.35,89.45,0.02,0.86,0.35
104,69.31,2.92,88.9,0.02,0.87,0.33
104,73.05,359.46,90.16,0.01,0.91,0.29
104,71.66,358.07,90.64,0.01,0.94,0.33
104,72.35,359.59,90.13,0.02,0.93,0.3
104,70.82,1.52,89.47,0.03,0.91,0.32
104,68.83,0.1,89.96,0.01,0.92,0.37
